2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:54		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:54		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:54		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:54		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:54		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:54		 wafer_23012020_041211.csv: File loaded successfully!!
